location_id,project_id,classification,technology,upload_speed_anticipated,download_speed_anticipated,low_latency
1049467182,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467183,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467186,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467189,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467190,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467193,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467194,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467219,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467238,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467264,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467294,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467320,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467380,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467395,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467401,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467403,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467477,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467548,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467550,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467552,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467556,CM61-BEAD-WA-26-96212-001,1,61,20,150,1
1049467571,CM61-BEAD-WA-26-96212-001,1,61,20,150,1
1049467594,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467598,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467600,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467609,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467610,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467621,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467637,CM61-BEAD-WA-26-96212-001,1,61,20,150,1
1049467639,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467642,CM61-BEAD-WA-26-96212-001,1,61,20,150,1
1049467657,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467664,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467722,CM61-BEAD-WA-26-96212-001,1,61,20,150,1
1049467723,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467724,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467726,CM61-BEAD-WA-26-96212-001,1,61,20,150,1
1049467729,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
